"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1785459093043634195","Tue Apr 30 23:59:54 +0000 2024","0","Menilik Kans Timnas Indonesia U-23 Raih Tiket Olimpiade https://t.co/soCNeSoYaS","1785459093043634195","","","in","","0","0","0","https://x.com/20detik/status/1785459093043634195","598959076","20detik"
"1785096463435100440","Tue Apr 30 23:58:50 +0000 2024","0","@MafiaWasit Nobar timnas loh Iki iso²ne rusuh Berarti Cen bener sdm rendah Ning kono ki","1785458825879052295","","MafiaWasit","in","","0","0","0","https://x.com/rayyden13/status/1785458825879052295","887267490031480832","rayyden13"
"1785453856333451298","Tue Apr 30 23:58:14 +0000 2024","3","@jusahourly lagi ngomongin diri sendirii untuk negara yg rank bola nya 100+ mah susah sih cari yg bener2 grade A contoh tijani aja lebih milih timnas pusat yakan","1785458671721525755","","jusahourly","in","","0","0","0","https://x.com/bayikcegukan/status/1785458671721525755","1509070404328955904","bayikcegukan"
"1785211524115792063","Tue Apr 30 23:58:08 +0000 2024","0","@ndorokakung Wkwkwk sempet kepikiran beberapa hari lalu. Bandingin sama orang yang bawa piala juara Qari kalau gak salah dimintai uang. Nanti kalau Timnas juara bawa trofinya bakal ribet gak ya? ","1785458649240064176","","ndorokakung","in","","0","1","0","https://x.com/fauzifathu_n/status/1785458649240064176","1282632737153679360","fauzifathu_n"
"1785167825432363499","Tue Apr 30 23:57:42 +0000 2024","0","@pakwebe @jainudinwr @MulkiArdhy @ainurohman Own Goal ya memang kesalahan tapi kesalahan kayak gini harus segera di atasi supaya Timnas main dgn tenang &amp; nyaman ketika unggul","1785458536958636039","","pakwebe","in","","0","0","0","https://x.com/Ramaadhy/status/1785458536958636039","85551954","Ramaadhy"
"1785122398016278873","Tue Apr 30 23:57:33 +0000 2024","0","@utdabout Sy setuju mmg era skrg adlh era kecurangan terutama dlm hal ini ketika timnas kita bermain seolah2 ada kekuatan diluar lapangan yg mengatur spy Indonesia tdk muncul dipentas internasional. U 23 wasit penuh dg kontroversi mdh2an komisi wasit FIFA bertindak","1785458500702986457","","utdabout","in","","0","0","0","https://x.com/aklaqul_k/status/1785458500702986457","862450750319861760","aklaqul_k"
"1785182934871495112","Tue Apr 30 23:57:09 +0000 2024","0","@jokowi hahaaaaaaa 0-2 ya. timnas kalah.","1785458401662886375","","jokowi","in","","0","0","0","https://x.com/kangsil2012/status/1785458401662886375","546890263","kangsil2012"
"1785167825432363499","Tue Apr 30 23:56:53 +0000 2024","2","@ainurohman Jangan dibebani tertalu tinggi seperti pertandingan kemarin timnas main agak gugup ayo nothing to lose biar mainnya enjoy &amp; kita taklukkan iraq","1785458334260482533","","ainurohman","in","","0","0","0","https://x.com/DAdzkhan16580/status/1785458334260482533","1755014622527242240","DAdzkhan16580"
"1785458287892422819","Tue Apr 30 23:56:42 +0000 2024","0","Meski Timnas ngga lanjut ke Final tapi tren positif APBN harus selalu lanjut terjaga! #UangKita","1785458287892422819","","","in","","0","0","0","https://x.com/BangEwinJKT/status/1785458287892422819","62466423","BangEwinJKT"
"1785303279641243672","Tue Apr 30 23:56:31 +0000 2024","0","@FT_IDN Kurang sreg nih sama keputusan buat ambil ravens tapi gua bakal happy kalo kekhawatiran gua salah. Jadi semoga aja dia ngebuktiin baik di timnas atau di klub ","1785458241864175962","","FT_IDN","in","","0","0","0","https://x.com/Kingomingo000/status/1785458241864175962","1383757722202476549","Kingomingo000"
"1785458174713356594","Tue Apr 30 23:56:15 +0000 2024","0","Timnas Indonesia OTW Piala Dunia 2026! Erick Thohir Umumkan Maarten Paes Sudah Ambil Sumpah WNI Netizen: Gila #ChampionsLeague https://t.co/oFB9mSHRmy","1785458174713356594","","","in","","0","0","0","https://x.com/ImronRasyidi8/status/1785458174713356594","1425244557826957312","ImronRasyidi8"
"1785095881131536848","Tue Apr 30 23:54:48 +0000 2024","0","@Nagashima_007 @Joy388929023288 Cari pembenaran mulu. Belajar terima realita uzbek skill diatas timnas. Saat justin dibantu wasit kok pd diam. Orang korea apa jg cari pembenaran ngujat wasit?","1785457809653661835","","","in","","0","0","0","https://x.com/Jabrik0073/status/1785457809653661835","1328564163908550656","Jabrik0073"
"1785457678334255500","Tue Apr 30 23:54:17 +0000 2024","0","Liat timnas era Naturalisasi berani main WE Master League ","1785457678334255500","","","in","","0","0","0","https://x.com/Geraamanda/status/1785457678334255500","926239423","Geraamanda"
"1785438472595218892","Tue Apr 30 23:54:06 +0000 2024","1","@yangmi3prnew @ganjarpranowo @Miduk17 Penolakan terhadap Timnas Israel di piala dunia U20 pemerintah lebih tau jelas masalahnya kususnya Jokowi Menlu Retno &amp; Erick tapi mereka pura2 tidak tau cuci tangan dan menikmati keuntungan seolah-olah piala dunia di batalkan karena penolakan dari Gubernur Ganjar.","1785457633652351307","","yangmi3prnew","in","","0","1","0","https://x.com/AjieNdoro/status/1785457633652351307","1558597547647979520","AjieNdoro"
"1785457304093282720","Tue Apr 30 23:52:48 +0000 2024","3","Bang Radja sedang membahas dirinya sendiri. Pemain grade A di eropa ya ga bakal mau dinaturalisasi. Bahkan saat lu di peak perform juga maunya masuk timnas Belgia kan.","1785457304093282720","","","in","","0","1","1","https://x.com/glrxl/status/1785457304093282720","95927963","glrxl"
"1785457247554019425","Tue Apr 30 23:52:34 +0000 2024","3","Apakah Shen Yinhao Rugikan Timnas U-23 Indonesia saat Dikalahkan Uzbekistan? Instruktur Wasit PSSI Berikan Analisisnya https://t.co/eoCc0VafDJ #TempoBola","1785457247554019425","","","in","","0","0","4","https://x.com/tempodotco/status/1785457247554019425","18129942","tempodotco"
"1785167825432363499","Tue Apr 30 23:52:11 +0000 2024","0","@wyinkles @ainurohman Gag hanya optimis balikin mental nya istirahat sama main lepas itu yg harus di perhatikan Buat Timnas next nya pas mau kunci Juara ke 3","1785457149289935320","","wyinkles","in","","0","0","0","https://x.com/Ramaadhy/status/1785457149289935320","85551954","Ramaadhy"
"1785305042272256157","Tue Apr 30 23:52:08 +0000 2024","28","@agunsetiawn @Titipan_Mafia ketua pssi tugasnya kan urus timnas &amp; liga kalo menurut gua ga bisa jalan bareng. jd si ET ini fokus di timnas dulu karna pengen bikin minimun standar kualitas timnas. nah skrng standarnya udah kebentuk nih di timnas harusnya dia bisa mulai fokus bagusin kualitas liga","1785457138326012399","","agunsetiawn","in","","0","3","2","https://x.com/ibnuuprasetyo/status/1785457138326012399","320598622","ibnuuprasetyo"
"1785168201812488324","Tue Apr 30 23:50:35 +0000 2024","0","@tanyarlfes Ga nyambung banget apa hubungan nya Jerome sm Timnas?","1785456745730724076","","tanyarlfes","in","","0","0","0","https://x.com/lexxx_omfg/status/1785456745730724076","1596877137440825346","lexxx_omfg"
"1785300432161767821","Tue Apr 30 23:50:17 +0000 2024","0","@FandomID_ Ibarat covid ini booster imun buat timnas ayo bisa yok jadiin liga inggris pindah ke Indonesia....","1785456671579582927","","FandomID_","in","","0","0","0","https://x.com/abuuudzar/status/1785456671579582927","386640139","abuuudzar"
"1785456231727165712","Tue Apr 30 23:48:32 +0000 2024","0","Shin Tae-yong Pusing Maarten Paes Masuk Slot 3 Pemain Senior Timnas Indonesia U-23 jika Lolos Olimpiade Paris 2024? https://t.co/LpnwXQ8fG7","1785456231727165712","","","in","","0","0","1","https://x.com/okezonenews/status/1785456231727165712","47274731","okezonenews"
"1785452503456477563","Tue Apr 30 23:46:58 +0000 2024","0","@CNNIndonesia Kalau tdk bsa menghentikan Timnas dgn lawannya. Maka akan dilakukan melalui wasit. Kenyataanya adalah apapun keputusan wasit dengan sgala ketidakadilannya tdk ada yg bsa dilakukan stelah pertandingan selesai kecuali protes yg mngkin jg tdk akan merubah apapun","1785455836963434530","","CNNIndonesia","in","","0","0","0","https://x.com/Diwan555/status/1785455836963434530","1603782533669609472","Diwan555"
"1785438334875316343","Tue Apr 30 23:46:23 +0000 2024","1","@Oleng_YNWA Pro dan kontra itu biasa saya melihatnya dari sisi bahwa pemain lokal harus lebih punya motivasi untuk bisa masuk Timnas karena levelnya tinggi baik fisik mental skill dan kemampuannya..","1785455692469678449","","Oleng_YNWA","in","","0","1","0","https://x.com/g4b0ng0ku73/status/1785455692469678449","1614470115210457090","g4b0ng0ku73"
"1785455566825120069","Tue Apr 30 23:45:53 +0000 2024","7","Nobar timnas di kafe Nobar timnas di bundaran rektorat ️ https://t.co/hpkUzsyAJ5","1785455566825120069","https://pbs.twimg.com/ext_tw_video_thumb/1785384393680568320/pu/img/YNeJFFh6LZ-oPXG5.jpg","","in","","0","2","3","https://x.com/kicauan_random/status/1785455566825120069","2254787029","kicauan_random"
"1785454734268407978","Tue Apr 30 23:42:35 +0000 2024","0","Erick Thohir Semangati Timnas Garuda Muda Langsung Datangi Ruang Ganti https://t.co/iyNc9mbP0h","1785454734268407978","","","in","","0","0","0","https://x.com/titiktemuco/status/1785454734268407978","1336827994199900161","titiktemuco"
"1785454634821439537","Tue Apr 30 23:42:11 +0000 2024","0","Pendukung TimNas ning~","1785454634821439537","","","in","","0","0","0","https://x.com/senubayu/status/1785454634821439537","358696338","senubayu"
"1785454612537073688","Tue Apr 30 23:42:06 +0000 2024","9","Kapten Timnas U-23 Indonesia Rizky Ridho Akan Diberi Bonus oleh Universitas Muhammadiyah Surabaya Lempar Kelakar Soal Wisuda https://t.co/QY2EIhm5np #TempoSport","1785454612537073688","","","in","","0","1","2","https://x.com/tempodotco/status/1785454612537073688","18129942","tempodotco"
"1784949134191202726","Tue Apr 30 23:42:04 +0000 2024","0","@ProfOnline_id @AsbabulKopi Sayang sekali shintaeyoung gagal membuat timnas Indonesia berhasil melawan Uzbekistan YANG MERUPAKAN NEGARA MAYORITAS ISLAM https://t.co/bhMI6ER68T","1785454605230563562","","ProfOnline_id","in","","0","0","0","https://x.com/pordylr/status/1785454605230563562","2281798662","pordylr"
"1785305042272256157","Tue Apr 30 23:41:52 +0000 2024","143","@Titipan_Mafia banyak yg bilang erik thohir ketua pssi yg bershasil tai kucing lah dia mah ketua timnas kalee liat aja liganya masih di kuasai ib dkk sepakbola bersih sepakbola bersih tai kucing lah.","1785454552675910099","","Titipan_Mafia","in","","1","33","17","https://x.com/agunsetiawn/status/1785454552675910099","1336432670","agunsetiawn"
"1785122398016278873","Tue Apr 30 23:35:41 +0000 2024","0","@CineManiaXX @utdabout Udahlah.. Udah jelas klh segalanya ga perlu nyalahin wasit. Offside sdh jelas kartu merah jg udah jelas kaki RR bergerak ke arah dpn/tubuh pemain. Belajar profesional menerima kekalahan pasti akan ada kemajuan. Timnas sdh bagus dan sdh mulai disegani negara lain.. SEMANGAT ","1785452999877231002","","i_am_semesta","in","","0","0","0","https://x.com/adriellacarise/status/1785452999877231002","1153736701","adriellacarise"
"1785452972849389766","Tue Apr 30 23:35:35 +0000 2024","0","ternyata wasit timnas kemaren wasit di lapangan wasit var semuanya dibayar.","1785452972849389766","","","in","","0","0","0","https://x.com/BinSudjana/status/1785452972849389766","50279916","BinSudjana"
"1785452732645851314","Tue Apr 30 23:34:38 +0000 2024","0"," AKIBAT membuat MASALAH PADA TIMNAS INDONESIA ~ WASIT SHEN YIN HAO SAMPAI NGEMIS BELAS KASIH NETIJEN https://t.co/NDapuYk0x2","1785452732645851314","","","in","","0","0","0","https://x.com/idn_media/status/1785452732645851314","2508657594","idn_media"
"1785305042272256157","Tue Apr 30 23:34:26 +0000 2024","0","@adimulya1976 @Durm96000604 @Titipan_Mafia ya emang tetap bisa dititipin pemain lokal yang mau masuk timnas.","1785452684176453725","","adimulya1976","in","","0","1","0","https://x.com/oraonocr7/status/1785452684176453725","1603971340771266560","oraonocr7"
"1785231143434162317","Tue Apr 30 23:34:26 +0000 2024","0","@nialubis_ @aniesbaswedan @cakimiNOW lha buru2 amat ga sparring dulu lawan timnas asuhan sty?","1785452684105109676","","nialubis_","in","","0","0","0","https://x.com/razakasri/status/1785452684105109676","240983005","razakasri"
"1785452465724526650","Tue Apr 30 23:33:34 +0000 2024","0","PT Timah Apresiasi Kerja Keras Timnas U-23 di Piala Asia 2024 https://t.co/6VWdpOHiNf","1785452465724526650","","","in","","0","0","0","https://x.com/SINDOnews/status/1785452465724526650","231355136","SINDOnews"
"1785317676614877354","Tue Apr 30 23:33:25 +0000 2024","0","@hawzmarwahebfa @panditfootball Nah pendidikan sepakbolanya kan bukan kompetesi mentukan baiknya timnas. Negara afrika kaya kamerun ghana pemain rata pedidikan sepakbola di luar semua toh timnas baik.","1785452425966665754","","hebfahoss","in","","0","5","0","https://x.com/hambaamatir45/status/1785452425966665754","1608711282026512384","hambaamatir45"
"1785297756174917661","Tue Apr 30 23:33:03 +0000 2024","0","@garagarabola_ Jens Raven ini blm join timnas sudah ngaktifin fitur subscribe di IG aja ","1785452336019845245","","garagarabola_","in","","0","0","0","https://x.com/trzflrc/status/1785452336019845245","1503210373264310272","trzflrc"
"1785325236277436906","Tue Apr 30 23:32:55 +0000 2024","0","@garagarabola_ Yang penting dia mau membela timnas Indonesia","1785452299781030130","","garagarabola_","in","","0","0","0","https://x.com/irvan_scd/status/1785452299781030130","473547896","irvan_scd"
"1785452244152041481","Tue Apr 30 23:32:41 +0000 2024","0","Tetep ga bakal bisa pake jersei timnas merah putih.","1785452244152041481","","","in","","0","0","0","https://x.com/kambinkkkk/status/1785452244152041481","1625530917434589185","kambinkkkk"
"1784981694417957299","Tue Apr 30 23:32:14 +0000 2024","0","@ickyhp @andycha_syreena @abu_waras Nah ini slh stu cnth org yg gak ngerti benang mrh dr permasalahannya pointnya klo kita diklhin krna kecurangan wasit itu sngt nyakitin hati mau itu timnas pilpres dll masa gitu aj gak ngerti.‍️fyi gw sjak aff 2010 ud jdi penggemar sepak bola &amp; slalu nonton timnas tanding !","1785452128187933068","","ickyhp","in","","0","1","0","https://x.com/patria_tia/status/1785452128187933068","864025554","patria_tia"
"1785317676614877354","Tue Apr 30 23:31:35 +0000 2024","0","@panditfootball Yang kompetisi baik saja kadang gagal nyiptain timnas yang baik banyak contohnya negara eropa ","1785451967629963627","","panditfootball","in","","0","6","0","https://x.com/vixhd/status/1785451967629963627","111473555","vixhd"
"1785297897053126727","Tue Apr 30 23:31:18 +0000 2024","1","@kaitou_kicks Alah... Dari dulu juga pemain naturalisasi itu banyak bro. Sebelum dipegang Eric timnas banyak juga pemain bulenya","1785451895110422734","","kaitou_kicks","in","","0","0","0","https://x.com/JollyRo20841422/status/1785451895110422734","1486126304298938368","JollyRo20841422"
"1785451751593968001","Tue Apr 30 23:30:44 +0000 2024","1","Selow wae ra sah ngegas wir.. slot timnas udah aman diisi pemain aseng. Percaya proses!","1785451751593968001","","","in","","0","5","1","https://x.com/ruang_ganti/status/1785451751593968001","914919144","ruang_ganti"
"1785451576183984572","Tue Apr 30 23:30:02 +0000 2024","1","Meski kalah performa Timnas Indonesia U23 dipuji kapten Uzbekistan! https://t.co/jLHotjeJ3R","1785451576183984572","","","in","","0","0","0","https://x.com/Bolanet/status/1785451576183984572","85537477","Bolanet"
"1785448877010960853","Tue Apr 30 23:19:18 +0000 2024","0","udah kelewatan batas ini pssi harus ambil langkah tepat buat jaga timnas ","1785448877010960853","","","in","","0","0","0","https://x.com/lalalandskies/status/1785448877010960853","1101832166122512385","lalalandskies"
"1785448667497054561","Tue Apr 30 23:18:29 +0000 2024","0","Mana timnas besok pula main perebutan juara 3 sama kayak tanggal ultahnya wkwk","1785448667497054561","","","in","","0","0","0","https://x.com/ARodzikin/status/1785448667497054561","1554037619239321605","ARodzikin"
"1785300432161767821","Tue Apr 30 23:18:18 +0000 2024","0","@FandomID_ Gk usah kaget naturalisasi penting karena menambah daya saing pemain lokal dan daya saing timnas minimal di asia. Jangka pendek dan jangka panjangnya dapet semua. Kalo daya saing timnas di asia udah bagus otomatis akan membuka pemain lokal untuk maen di eropa.","1785448622735429730","","FandomID_","in","","0","0","0","https://x.com/ainulya05089400/status/1785448622735429730","1474714266863169540","ainulya05089400"
"1785169028765581623","Tue Apr 30 23:17:40 +0000 2024","0","@BolaBolaAja Nggak siih dia terpaksaa dukung timnas soalnya akunnya di serbuu sama netizen indo makanya bikin klarifikasiii wkwkhaha lawakk dia ","1785448462378729832","","BolaBolaAja","in","","0","0","0","https://x.com/05Tahni60813/status/1785448462378729832","1671818924391038976","05Tahni60813"
"1784973953079083129","Tue Apr 30 23:16:34 +0000 2024","0","@PrinceHF1234 @warunglio @kikysaputrii Kasian belom move on dari kekalahan pemilu sampai menyamaratakan negara sendiri (timnas) di injek injek wasit ","1785448185382514817","","PrinceHF1234","in","","0","0","0","https://x.com/hermaliza17291/status/1785448185382514817","1687547514390814720","hermaliza17291"
"1785448137009639736","Tue Apr 30 23:16:22 +0000 2024","1","Sudahlah...gak usah kita sibuk dg tidak fairnya wasit karena tak akan merobah keadaan. Sebaiknya kita sibuk dg memberikan support semangat dan mengembalikan percaya diri dari TimNas U23 Garuda Muda U23 agar menghadapi Irak tidak terulang lagi kesalahan2 yg lalu.","1785448137009639736","","","in","","0","0","0","https://x.com/NazriStMudo/status/1785448137009639736","3303743306","NazriStMudo"
"1785448032085147738","Tue Apr 30 23:15:57 +0000 2024","0","fenbes bola aja kayanya masih lebih hati hati bercandaan soal kekalahan timnas apalagi itu twt emg lg anget angetnya timnas kalah","1785448032085147738","","","in","","0","0","0","https://x.com/culturedyungboi/status/1785448032085147738","1477992655489355780","culturedyungboi"
"1785443345118163366","Tue Apr 30 23:15:51 +0000 2024","1","@MEY_ARD1ANSYAH Semua nyalahin wasit tapi nggak ada yg nyalahin pemain timnas no 12 yg juga ikut andil dlm kemenangan Uzbekistan dgn Gol bunuh dirinya ","1785448005791035802","","ME1_N0N1E","in","","0","0","0","https://x.com/putraragista/status/1785448005791035802","475801614","putraragista"
"1785299367110602788","Tue Apr 30 23:14:52 +0000 2024","0","@erickthohir Besok besok timnas tampang nya eropa semua hehee.. Ga ada lagi nama2 khas jawa sumatra maluku bali &amp; papua","1785447760369787260","","erickthohir","in","","0","0","0","https://x.com/fajriNB/status/1785447760369787260","208580110","fajriNB"
"1785341655492760029","Tue Apr 30 23:14:44 +0000 2024","8","@UbahBareng Hehe sampe skrg masih ngikutin acara2 pak Anies di Yutube sprti kmrn halal bihalal di PKS HMI Jogja pembubaran timnas dll. Masih ketagihan nonton pidatonya ga tau napa kaya ada penyegaran otak dan semangat krn isi omongannya selalu daging dan guyonannya cerdas.","1785447724814626909","","UbahBareng","in","","0","0","0","https://x.com/ikan_mainan/status/1785447724814626909","59319789","ikan_mainan"
"1785362807518904550","Tue Apr 30 23:14:36 +0000 2024","5","@mpujayaprema @moejeep_pelung Di Timnas naturalisasi Di sektor lapangan kerja pun naturalisasi dari cina","1785447692635943229","","mpujayaprema","in","","0","2","3","https://x.com/Alfa_Bimas/status/1785447692635943229","1726031471205588992","Alfa_Bimas"
"1785112473831661596","Tue Apr 30 23:14:03 +0000 2024","0","@islah_bahrawi Sakit kaan... tapi tdk mungkn timnas dicurangi tidk ada indikasi kecurangn yg dilakukn wasit mereka hakim yg adil.... yakaan bpk2 @officialMKRI @KPU_ID","1785447555700322458","","islah_bahrawi","in","","0","0","0","https://x.com/Tatieluv/status/1785447555700322458","60259772","Tatieluv"
